rating,date,content,content_length,is_positive
5.0,2025-01-20,I visited Lotte World in Seoul on Christmas Day and while it was a magical experience it was extremely crowded due to the holiday Most rides had wait times exceeding an hour which required a lot of patience Despite the long lines the,233,1
4.0,2025-08-20,2025 08 14 It s really interesting to stay here However we spent so much time waiting Recommend roller coaster and pirate ship,126,1
4.0,2025-07-20,Went when it was Christmas themed and loved to whole mood with the lights and decorations The only thing was that there was a looong waiting line for different attractions I only went on the one with the flying air balloon And at the end they had a Christmas parade show which was fun to watch,293,1
5.0,2025-12-20,Very cool attractions and food choices Make sure to reserve your place in the French revolution,95,1
3.0,2025-08-20,Bought our family of 4 tickets with magic fast pass in advance via Klook unfortunately due to wet weather the outdoor rides were closed and can t make the most of the magic fast pass Indoor rides most suitable for under 10 year old in my,237,0
5.0,2025-06-20,It s the biggest indoor theme park I ve ever seen When I visited it still had the pokemon theme The queue is kinda long but the park gives information about how long the estimated wait is So it s up to you to queue or not The rides are so cool and thrilling You can also enjoy the castle laser show at night It s so beautiful,325,1
3.0,2025-08-20,It is what it is a nice local theme park that they put into a large shopping mall Despite it being indoor the theme park manages to be equally as hot as the part of the theme park that is outside the mall The building s,219,0
5.0,2025-04-20,Located next to the Lotto mall and tower It has two sections one indoor and magic island that is outdoor and has that castle Both sides are good The inside one has a section for younger kids There is one or two roller coasters indoor,233,1
5.0,2025-07-20,This theme park is very suitable for younger kids though it has some pretty exciting or thrilling ones for the the daredevils Plenty of food options available though I would highly recommend the Korean Traditional Restaurants We tried,234,1
5.0,2025-03-20,Great place to spend the day It is perfect for kids Don t expect it to be very scary or extreme it s is lore for the smaller kids to have fun There are tough some attractions for adults as well like the French Revolution a,222,1
3.0,2025-04-20,It was cute A lot of rides shut down The others are premium rides The few left would take an hour to even get on We did do one 3d thing which was cute They have ice skating which is extra They have food and souvenirs The photo area,231,0
1.0,2025-07-20,lack of common courtesy made our little girl cried monday july 7th 2025 6 30pm,78,0
5.0,2025-06-20,An amusement park that s pleasing to the eyes I spent my time just wandering around eating park food and exploring The lines for the rides were hours long even though it was a Wednesday so I didn t ride any but I got a really discounted,236,1
4.0,2025-06-20,We spent half the day here as we had other plans in the evening but we d definitely do the full day and evening next time as the queueing is very time consuming and we only managed 4 rides from 12 6pm,200,1
4.0,2025-07-20,It s a must visit place if you come to Seoul But the queue for the famous rides were tooooooo long so my friend and i purchased the fast past because queuing for one ride took us almost one hour And other,204,1
5.0,2025-09-20,Had the best time got indoor and outdoor Many different kind of restaurants and reasonable price for delicious food,115,1
1.0,2025-12-30,To busy sold to many tickets 1 2hour lines for little kids rides Our 2 year old did not need a ticket to enter we line up for 1 hour to go on a little train ride to find out under 3 can come in but can t ride without a special Baby,231,0
1.0,2025-11-20,Not bad overall but it seems the greedy operations manager is overselling tickets beyond capacity With standby lines of 100 120 minutes it s practically impossible to get on any rides Just skip this place and don t waste your day here,234,0
5.0,2025-12-20,Very nice indoor theme park It might look small at first glance but it has many floors and an outside area that makes it much bigger The rides quality is fairly good my favorite being Simbad did it 3 times since there was no line I,231,1
5.0,2025-06-20,Lotte World is worth a visit while in Seoul With fun rides for all ages lots of food options and cute parades you can easily spend the entire day here Foreigners can get cheaper tickets on platforms like Klook The larger rides can,230,1
5.0,2025-01-20,Very fun park and not too expensive I highly recommend buying the entrance in advance to avoid queues when entering the park For the most popular rides you make a reservation and get assigned a time so it s better to do it as soon as you,237,1
4.0,2025-05-20,i enjoyed this place the park itself isn t that big i expected the wait times for the rides to be somewhat long but not like 90 mins i just wanted to go just for the experience it was a weekday too around afterschool hours so the,229,1
5.0,2025-12-30,The Christmas parade was amazing Queue is really long so be prepared to spend the entire day there while trying out just afew rides,131,1
4.0,2025-12-20,Full of students and people in general Relatively long waiting time for popular rides A few rides were closed for maintenance on the day that I went Food options was plenty but for those needing halal do bring your own food along and consume when needed Can easily spend a majority of the day here,297,1
3.0,2025-04-20,Very large unique indoor theme park with an outdoor area Found it very loud echoey stuffy inside Lines were crazy for all the rides Comparing it to the Japan USA type theme parks felt this one just didn t have the special theme,227,0
5.0,2025-05-20,You can spend a lot of time here you have everything shopping from luxury to mainstream entertainment for the whole family tons of food options Just a beautiful place to come and visit,184,1
1.0,2025-12-20,Lotte World was severely overcrowded during our visit Ride queues averaged around 90 minutes which significantly affected the experience Visitor numbers did not appear to be well controlled relative to capacity If you still plan to go,234,0
1.0,2025-12-20,Zero star rating If you are a foreign visitor I honestly would not recommend coming here,88,0
3.0,2025-08-20,good theme park no seating nowhere makes me tired but no one sit on the floor like universal studio in Japan,108,0
4.0,2025-05-20,Lotte world was a really cool experience we got there around 11am on a Monday no wait time since we pre purchased our tickets and entered from the wild jungle side Definitely recommend getting the magi pass because even during the,230,1
5.0,2025-01-20,Absolutely amazing This was the highlight of our trip We only went on 4 or so rides but enjoyed the performances a lot The Street horror show was fantastic The place is huge Spent a whole day there and still didn t manage to explore,232,1
1.0,2025-11-20,They sell way too many tickets for their park The waiting lines are ridiculous up to 1 5 2 hours It s definitely crowded you can t even walk freely but only in line close to each other really claustrophobic especially when it s,227,0
5.0,2025-12-30,Great vibes Had a blast Not too crowded and super convenient location,69,1
5.0,2025-03-20,Lotte World is one of the best amusement parks I ve ever visited and it definitely deserves a 5 star rating This is a must visit destination in Seoul especially for those who love thrilling rides and a lively entertainment atmosphere,233,1
1.0,2026-01-06,Fun area with lots to do but EXTREMELY CROWDED Lots of staff but feels like they are not well allocated to areas that need the most help like the ice skating rental line Do not come unless you want to wait at least an hour to do anything,237,0
5.0,2025-06-20,Lotte World in Seoul is a must visit destination for anyone seeking a blend of thrilling rides family friendly attractions and cultural experiences Despite its vast offerings it s easy to feel that a single day isn t enough to explore everything To make the most of your visit arriving early in the morning is highly recommended,328,1
1.0,2025-06-20,Don t Waste your time and money here The place is old and smells They don t access western cards I tried visa Mastercard and Amex from three different western countries in one of the shops inside and nothing work Don t even think,229,0
4.0,2025-04-20,Themed park with lots of attractions for children Some rides have a height restriction so better check this before going with your toddler It was surprisingly busy despite us going there on a weekday,199,1
5.0,2025-01-20,Lotte World is a wonderful destination especially for families with young children I visited during the winter season and while it was a bit cold the cooler weather made the experience more enjoyable than visiting during the summer My,234,1
5.0,2025-01-20,This is the another version of Disney world in south korea The place is really great in occupying all the rides within a single building The rides were really great but again one day will not be enough to experience,215,1
3.0,2025-12-30,This amusement park is very inviting except for the long lines The parade was very cute as we went in the evening There are affordable souvenirs and some food places Due to the cold weather it was good to have the indoor experience as well,239,0
5.0,2026-01-06,I d love to come here with my family I discovered this place through Carmen and Yeon Hearts2Hearts in their short vacation video,128,1
5.0,2025-06-20,It is unfair to compare with Universal Studio Singapore that I have ever been to but for the facilities and amenities this Lotte World provides is extremely beyond great at its level Worth to visit many games foods souvenir and vibes are good,242,1
5.0,2025-05-20,Amazing time so much to do and so little time I went for Pokemon pop up it was a great challenging scavenger hunt but totally worth it Will definitely come back and the price was only 27 and delicious food,205,1
5.0,2025-04-20,Quick tips to avoid long queue try going in the morning and avoid going after 3pm,81,1
4.0,2025-01-20,Went to Lotte World on Christmas Eve and it s pretty cool though seems much more targeted at children overall which is totally okay,131,1
4.0,2025-10-20,Charming place not vert exciting Like world Disney or universall studio Bur very good for a family mots of the attractions have a very low waiting Time,151,1
3.0,2025-06-20,Somewhat kinda okay There is always a long queue for almost each attraction and a handful of them are unfortunately closed This theme park is mainly catered for kids,165,0
1.0,2025-12-23,The waiting time was ridiculously long We only wanted to ride Pharaoh s Fury and it took three hours of waiting completely wasting our day,138,0
5.0,2025-01-20,The rides were amazing thrilling and overall very fun However it is recommended to get the magic pass as queues can go very long and they will just keep letting the people with magic pass go first which will stop the queue,222,1
4.0,2026-01-13,Cool places in the middle of the city and a lot of snack s stall There are indoor and outdoor rides,99,1
4.0,2025-10-20,Signage can be a little vague or not pointing to major sections at all if you re not on the correct floor Even on quiet days there may be up to 80min wait times for the rides Luckily the rides themselves are fast so the lines are always moving Plenty of food and set pieces to enjoy,282,1
3.0,2025-09-20,Honestly very overated go to everland instead Queues for rides were 2 hours long even though it was a week day not much to do while other than rides Not well sign posted either Tourists have to go to special entry counter We got tickets through discover seoul pass so no need to buy in advance,293,0
5.0,2025-11-20,Basically they have everything here But the hilite is the beluga aquarium,73,1
5.0,2025-05-20,Really nice indoor outdoor theme park in the heart of Seoul Best to purchase tickets online from services like Klook and save up to KRW5000 per adult,149,1
4.0,2025-01-20,Very crowded even during weekdays Many rides have to wait for more than half an hour to an hour Most rides are fun and not too scary even if they may look scary from afar Most restaurants serve great food even though they are rather pricey compared to other places,264,1
4.0,2025-01-20,Nice park a bit old school but cute If you don t have a fast pass though it s going to be mostly waiting park We went a Tuesday out of school holidays or anything and from what we saw popular attractions had lines between an hour or two Probably ok as a teenagers hanging with friends I wouldn t do it as an adult,313,1
4.0,2025-01-20,Take subway to Jamsil station and exit to Lotte World dept store Walk thru Lotte World Dept and you will reach the theme park Went in weekday there was no queue entering Lotte World The queue for most rides was aroubd 30min French,230,1
5.0,2025-08-20,A wonderful delightful indoor and outdoor amusement park that is slightly showing its age Food choices and quality are top notch for such a venue Magicpass recommended,167,1
1.0,2026-01-06,Dangerously crowded many hours queuing to get in and on any ride Family of 4 spent AUD200 and one family member did one ride slow go karting as the queue was only 60mins Dodgem cars was an 80 minute wait time and this was a Friday,230,0
4.0,2025-06-20,Fun easy going entertsinment theme park with lots of space to play around A Disney world includong parade and shows inside a building made in Korea,147,1
1.0,2025-12-23,I went on a Tuesday and it was soso crowded and the lines were insanely long I queued in this ride for such a long time I started growing white hairs and when we reached only the middle they suddenly told us that the ride had to be,231,0
5.0,2025-12-30,Very nice amusement park We will be back Pretty packed so we were not able to do everything Make sure you stop at the Korean history museum Kids enjoyed seeing Korea s history The models of the temples and palaces were everyone s favorite,238,1
4.0,2025-07-20,This is a fun place for all ages with plenty with indoor and outdoor rides Getting a skpi the line pass would not be a bad idea if you don t want to wait for hours in que,170,1
5.0,2025-09-20,It s very nice and amazing place specially rides,48,1
5.0,2025-12-20,This place brought out my inner kid I truly enjoyed and I would definitely go back to here,90,1
4.0,2025-01-20,Lotte World in Seoul is a fun place with cool rides But sometimes the lines to get on the rides can be really long even on weekdays They have something called a Magic Pass to skip the lines but it s kind of hard to find where to buy,232,1
4.0,2025-04-20,Great rides Atlantis and the french Revolution As a European the french Revolution is a strange name for a rollercoaster especially with a lack of disembodied french royals If I had kids I d bring them,201,1
1.0,2025-01-20,Disappointing experience due to super long queues and ride closures We visited on the 28th Nov and unfortunately didn t have the best experience The lingering snowfall in Seoul meant that many of the famous rides like the Gyro Drop,231,0
5.0,2025-04-20,Huge mall with the 6th tallest building in the world towering above it Visited during the cherry blossom festival in April so there was more people than usual visiting the lake infront of the mall for the cherry blossom trees,225,1
5.0,2025-01-20,Visited on weekdays The place is super huge and crowded But surprisingly the queue for the attractions are pretty quick except for the balloon ride,147,1
1.0,2025-01-20,Do not go there if you do not like crowds and staying over 2 hours to get 1 minute ride People who are in charge of this think only about money if they let get in so many peple and there is completely no control what is happening there It should be some limitation,264,0
5.0,2025-01-20,This is a really fun place to go with the family It s great because it has both indoor and outdoor Activities and rides so you can enjoy it regardless of the weather The rides are nothing compared to Six Flags theme parks in the USA More,237,1
1.0,2025-12-20,I do not recommend anymore I have been 3 times and the first two were not bad This 3rd time with new none functioning App and new reservation system is joke and not worth going They overcrowd the park so all lines are over an hour wait,235,0
5.0,2024-01-20,Wonderful and lovely Adventure Park One day pass for sure won t be enough to cover all in one day but with magic pass you can cover most of it with special access,162,1
2.0,2025-12-30,Alot of bookings reservation needed for the rides even though u got the tickets to go in And as expected the queues are abit long So do come mentally prepared and do your reservation for the rides if not you won t be able to go up some of the rides at all,255,0
5.0,2025-11-20,Large entertainment center with many indoor and outdoor games,61,1
4.0,2024-01-20,Tickets are cheaper from Klook Fun and fantastic place especially for kids Surprised that no carnival as its too crowded today We were hoping to see that,153,1
4.0,2025-04-20,Pretty good theme park Is quite busy Unique as it s an indoor one Best rides are gyro drop and Atlantis,103,1
5.0,2025-01-20,It is not the best amusement park that I have visited but lotte world deserve credit for the location in the capital city having access with metro in Seoul If you chose the right day you can enjoy majority of the attraction in a day and if,239,1
5.0,2025-01-20,This was definitely a cool place to take my kids It was an indoor outdoor amusement park which is super clutch in the winter There was something to do for all my kids of different ages Definitely a must go if you re in Korea with kids Very entertaining,252,1
1.0,2025-02-20,My family i visit Lotte World and one of the attraction we look forward to is the hot air balloon The system is that we have to que up for the ticket reservation meaning not queing in line to ride it yet So we joined the que for the,232,0
5.0,2025-01-20,Lotte World Korea is more than just a theme park it s a place where excitement and nostalgia come alive Whether you re screaming on the roller coasters or taking a quiet stroll through Magic Island there s a sense of wonder that draws,234,1
5.0,2025-01-20,Amazing Bought my ticket for 23 on a website as its double on their official site Some rides were busy but most had very reasonable wait times On some like the Gyro bungee I could get on the ride straight away Best ride is Atlantis,231,1
2.0,2025-12-20,This place is cool if your looking to have a kid like experience There s bright lights loads of food places and it just quite pretty There s a lot to see so it definitely the sort of place you can spend that day at HOWEVER it is a,230,0
5.0,2025-01-20,Great to be here A must to purchase Magic Pass when going here When i coming here probably Korean Students were onholiday so its very long queue for any ride luckily i was purchasing magic pass for 5 rides cost 54k won so i can skip all the long queue French Revolution Gyro Drop is an insane ride,297,1
5.0,2024-01-20,Love love love this amusement park It has indoor and outdoors I liked outdoor one It had long queues for some fun attractions So come early and enjoy your time,159,1
2.0,2025-12-20,This wasn t up to my expectations It was incredibly crowded There is only one elevator and people with baby strollers have to wait some time to be able to go up and down I wasn t able to find a simple map for the place some things were somehow hidden and I was only able to find it by asking,291,0
4.0,2025-04-20,One of kind experience you can have in Seoul especially with kids Lots of things to do there and many kinds of food to sample as well The shows in my opinion are the highlight of this park,188,1
3.0,2025-12-20,We went Adventure and skipped Magic Island as we have young kids Place is huge with varieties of rides Really a nice place Not sure why it s so crowded on a normal weekday place is packed more with locals than tourists For a ride we,232,0
4.0,2023-01-20,Very fun place and lots of things to do and see Great for the kids It was very busy the weekend we went so wait times for popular rides were close to 2 hours Decided not to ride those rides and stuck to the kids rides which were still,234,1
5.0,2025-01-20,Always fun coming here and many of the rides get updated or replaced so no visit is ever exactly the same,105,1
1.0,2025-01-20,Don t waste your time and money I tried to personally assess my experience at the CH the manager I found this park described as the Disney of Korea And to be considered a Disney Lotte World is far from it starting with the,222,0
4.0,2025-12-20,Long queues but nice place to go for a theme park,49,1
5.0,2025-01-20,I went on a Monday and the place was absolutely jammed both the indoor area as well as the outdoor park Tons of kids and teens One of the interesting things I noticed is how many of the girls and some of the boys rent British looking,233,1
3.0,2025-11-20,Very dated and way overdue for an update and perhaps a complete overhaul,72,0
5.0,2025-01-20,Fun indoor park that is cheap if you re a Disney World regular Entry is like 60 and their express pass is affordable too along with food Rides are decent to carnival level but it s a fun park because it is so unique I would definitely go here again,248,1
2.0,2025-12-23,Too crowded Don t come here if you are short on time Low return on time Average rides You will have problem doing even more than 1 big trill ride Kiddy rides are ok though no long queue Yong ever land is much nicer and not as crowded,233,0
2.0,2025-11-20,TLDR skates are TERRIBLY dull i am a 13 year figure skater and i was unable to skate without slipping once to the point i was concerned about the safety of it,158,0
1.0,2025-12-20,Too crowded on a weekend The good rides all 1hr My daughter who is a themepark lover went in at 10 and wanted to be out by 3pm Usually she wants to stay for 2 days in most themeparks,182,0
4.0,2025-01-20,Various photo spots in this amusement park but the wait line for those famous spots especially the carousel one is INSANE Careful with the rollercoaster one I took a pic of hit the side of my head and it hurt for a while They ve got cute shows and various food spots around the park,282,1
5.0,2025-01-20,THERES ABSOLUTELY NO NEED TO PURCHASE THE EXPRESS PASS Astounding how they managed to pack an entire theme park indoors allowing it to,134,1
5.0,2025-06-20,As usual very long queues for the popular rides but for families the kids attractions have pretty short wait time We thoroughly enjoyed ourselves in the theme park,163,1
5.0,2025-01-20,I give Lotte World five stars as I look at it if I had slightly younger children It would definitely be five stars for kids under 11 or 10 years old For teenage kids it s a little less even though there s great rides The problem is on,234,1
5.0,2025-01-20,This place is freaking awesome it s like the Disneyland of Korea and we had so much fun even with our 7 month old who couldn t go on any rides except for the World Monorail and Kiddie Train,189,1
5.0,2025-01-20,Our family had a great time When you visit Korea Lotte World experience is highly a recommendation especially if you re with your family and kids or kids at heart,162,1
5.0,2025-01-20,Lotte World was so fun despite the intense Seoul summer heat We went there on a Wednesday and there were many people but it was bearable It,139,1
2.0,2025-08-20,I got tickets in advance on the Klook app direct entry and arrived at 10am no wait for entry But the rides are packed lines too long and too crowded Most of the time was spent waiting in line rides were mediocre Some signs are in,229,0
2.0,2025-11-20,It s a nice place but very very crowded fast pass would be pretty expensive Sadly a lot of attractions were closed due to maintenance so check that online before you go if you have a specific ride in mind,204,0
5.0,2024-01-20,My family and I enjoyed this amusement park There were rides at the indoor and outdoor area Food were easily accessible The French Revolution Comet Express and Atlantis were popular rides thus be prepared to wait for a long time for it,235,1
4.0,2025-01-20,Good theme park but INSANELY BUSY Even during a weekday I went on Tuesday at 10am and it was packed with long snaking lines Do the kids in South Korea not go to school lol,171,1
5.0,2024-01-20,What an amazing theme Park Most of the things to do are inside but you have some outside too Perfect for rainy days You have a lot to do and even if you re there for the day you won t have the time to do all of the good things you want,235,1
4.0,2025-01-20,Great place for kids n couples o lots of school uniform couples cuddled together while walking,94,1
3.0,2025-06-20,It s nice but if you are an adult plan to go only for the late afternoon and the light shows,92,0
2.0,2025-01-20,Honestly this is one of the worst theme park I have gone to This is comparable to the Sixflags in North California,114,0
2.0,2025-05-20,Little to no signage showing you where anything is except toilets Everything had over 1 5 2h wait time,102,0
5.0,2024-01-20,It was a very unique experience The queue times were a bit long for some of the more popular rides 30 50 minutes The food prices were reasonable but some of the directions were a bit confusing in my opinion Definitely recommend going with friends or family,256,1
5.0,2025-06-20,A Disney like park in and outdoor with lots of cool attractions You can buy a fast pass to skip the waiting s line,114,1
1.0,2025-01-20,Sorry but this was shameful I went on a weekday in October and it was full of kids way to loud and crowded Queues were horrible and ruined it for us Went at opening hour 10 and averaged 1 hour per ride had to give up on the best,228,0
4.0,2024-01-20,Very crowded at the weekend There were queues at almost every corner We had to accept the fact that it was impossible to have a crowd free background for our photos totally fine with that due to our schedule,207,1
3.0,2025-01-20,Indoor part was nice considering it was freezing outside It s like Korean version of Disneyland Overall was ok for the kids but will still prefer Disneyland with better beautiful rides Worth an experience,204,0
4.0,2020-01-20,Small but fun filled theme park Has both indoor and out door activities and rides Recommend the balloon rides indoor as those are popular,137,1
5.0,2025-11-20,I used DSP pass to enter lotte world overall everything is okay Even though I go there on weekday there is still so many people,127,1
1.0,2025-12-30,Wait times over 2 hours for every ride terribly laid out leading to over crowding and crush points and the online map crashes because everyone s trying to use it Can t rate the rides because didn t end up being able to go on any Save your time and money and do something else like the aquarium,293,0
5.0,2025-10-20,The line for the rides were long but I went bank holidays weekend Great atmosphere Clean toilets Plenty of food and drinks stalls For future visits plan to tackle it over 2days,176,1
4.0,2024-01-20,The park is definitely a must see to all who visit Seoul its the best theme park in the area All the rides were amazing though the lines can get quite extreme everyday even on weekdays I got the Magic Pass which was unavailable to buh,234,1
5.0,2025-01-20,A very cool theme park I like the idea that they make it indoor so people dont have to experience the bad weather if they had it It has 4 floors and many nice games to try out,175,1
5.0,2025-07-20,Nice theme park with both indoor and outdoor rides,50,1
5.0,2024-01-20,I had a good experience here I made a few mistakes visiting as a foreigner,74,1
5.0,2025-09-20,Great experience with the kids big and small we loved it,56,1
5.0,2024-01-20,A day well spent here They both have indoor as well as outdoor rides There is so much to experience You can also rent school uniforms to have a local experience It s better to buy tickets beforehand on klook for foreigners,222,1
5.0,2025-01-20,My favourite place in Seoul when it comes to amusement parks This place is huge and has multiple levels of rides and shows It has attraction suitable for all ages and they provide lockers for rental which is very convenient They also,233,1
4.0,2024-01-20,staff are super nice honestly a little overrated and overpriced but not a bad place to visit went with my 엄마 역동생 did the whole uniform thing and it was fun despite the super long lines and only going on one ride granted we came,227,1
4.0,2024-01-20,I d say it s worth visiting at least once I wouldn t go again but I enjoyed it for what it is Definitely buy tickets ahead of time and get your reservation tickets for the rides that gives it We saw a lot of kids and students sitting,233,1
3.0,2024-01-20,Went on a Friday afternoon Way too many people 99 were school going kids They should have a maximum capacity and I think it s very unethical of the park to continue selling tickets to unsuspecting visitors Ive been to countless theme,233,0
2.0,2026-01-06,Well it was a little bad experience because it so crowded we only got to play in 3 4 games,90,0
