stars,date,review,review_length,is_positive
3.0,2025-10-18,We came here for a full day of fun. The place was crowded for a weekday. Lots of children running around. We enjoyed the parade even though it was a bit short. Make sure you download the app to see how long the wait times are. …,228,0
1.0,2025-12-18,"Absolutely disappointing. We paid around 40,000 KRW per person and ended up riding mostly filler attractions. None of the main rides that would have made the ticket price worth it were accessible because the lines were insanely long. To …",238,0
4.0,2025-12-18,"Nice amusement park. There are many things to see. However, even though we came during a weekday, it was really crowded. There is a long wait for the popular rides.",164,1
5.0,2025-08-18,"Lotte World: A Magical Adventure in the Heart of Seoul Lotte World is more than just a theme park; it's a dual-world adventure that you have to experience to believe. With a massive indoor park, Lotte World …",208,1
5.0,2025-10-18,I only stayed in the indoor part and it was great. I needed to wait a bit longer only on one ride. There are good restorants and cafes where you can eat while you are there. Before closing there is a whole performance that you don't want to miss,245,1
4.0,2026-01-13,Great for kids with a mixture of adult rides mainly on magic Island. Expect to spend the whole day l this fun place.,116,1
5.0,2025-09-18,It was so easy to reach there via subway from Seoul city center. Once you enter the facility you notice that how this place is big. Also there is an another open area is big like the covered area. …,198,1
2.0,2025-12-28,Bewn on a weekday thinking the crowd would be less but god i am so wrong. Place is packed and waiting time is so much longer more than an hour just for that few minutes ride. Paid a full price for ticket entrance thinking it should have …,238,0
5.0,2025-11-18,Went during the pokemon event and had a fun time. We recommend getting the fast pass if you want to ride stuff. Some rides were advanced booking and the Pokémon hot balloon ride took about 90 minutes of waiting.,211,1
4.0,2025-08-18,"Excellent park! Even if the lines look long the queueing is quick, the rides don't break down often, I've only seen it happen once and it was fixed super fast! Many attractions for all ages, a lot of good food overall too. Very recommended experience for anyone visiting Seoul!",277,1
5.0,2025-10-18,"- The line was soooo long for the outdoor rides, took some time before we were able to ride the rollercoaster but the weather was bearable at that time (not that sunny but w/ some light rains) …",194,1
5.0,2025-09-18,"An amazing entertainment complex for children and adults. Lotte World consists of two parts, the first part covered by a glass dome is mainly intended for children and family recreation. There are many calm and understandable attractions …",239,1
5.0,2025-08-18,It was raining that time so we didn’t get to ride the fun rides. It was also really big so prepare for that 10k+ steps. It was fun overall as you can stay and enjoy the indoors during rainy season,196,1
4.0,2025-11-18,Magic pass is a must if you don’t want to spend hours in line for the rides. The food Options are decent. It’s a fun time and especially if there is an event going on.,167,1
4.0,2025-08-18,"We visited Lotte World on a weekday, thinking it would be a quieter time to explore—but we were definitely mistaken. The park was absolutely packed, and most ride wait times were up to an hour, with some even longer. It’s clearly a popular …",241,1
5.0,2025-12-21,"Save $ buy tickets in advance from klook, etc. Arrive early, ride the rides that get busy quick, Pharoahs, etc, then stalk the other rides with smaller queues after lunch. Don't leave the park, reentry is very very difficult. Was really surprised to see a Quiznos sub inside.",275,1
4.0,2025-09-18,"Lotte World is certainly an impressive destination, but our visit left us with mixed feelings. The park gets extremely busy, especially on weekends, and queuing times for the most popular rides stretched up to two or even three hours, which …",242,1
5.0,2025-12-28,"Rides are thrilling and fun, unfortunately, queues are quite long and the adventure section is subject to weather conditions",124,1
4.0,2025-08-18,This is quite big indoor theme park. We were booking the ticket online and came to print in the counter. Many games for the kid below 100 cm. We come in the summer day still hot inside and outside.,197,1
1.0,2025-12-28,This place is a scam. I came here on a weekday and it was incredibly crowded with the longest queues I have ever seen. The whole day was spent on filler rides like 3d shows and children shooting games. We did try to queue for one of the …,238,0
1.0,2025-09-18,"It was rlly bad, every attraction had like 2 hours of waiting, at least 3 good attractions were closed and the restaurants didn't have enough card options, and they weren't that good it was rlly expensive and we had to pay extra for the ice skating honestly I didn't like it but maybe it was an unlucky day for me.",314,0
5.0,2025-08-18,My best advice is to prepare to wait and not expect to see everything. We enjoyed walking around even without riding most of the attractions. …,143,1
5.0,2025-07-18,On one of the hottest days in Summer the biggest indoor theme park is a great place to have fun. The meal options are vase and were surprisingly decent quality. The queues are long on the popular rides and on the day of my visit there are …,240,1
5.0,2025-08-18,"Located in the Jamsil area of Seoul, this amusement park is perfect for a city day trip. I love that much of it is indoors, making it a great option regardless of weather. It offers plenty of arcade games, fun rides, and some pretty good …",239,1
5.0,2025-10-18,"Best redemption for Seoul Pass ❤️ we love the cute pokemon themes for summer, but it is very warm and humid! the parades were super fun too. The rides are still good, though some parts of their ceiling felt very low, so for tall people, …",238,1
5.0,2025-08-18,So fun !!! Love this place so much! Came here and the rides were so fun. Lines were a bit long during the afternoon so i suggest coming in the morning. That ride with 2 drops near the rocking ship is so fun !! 10 outta 10 recommend,231,1
5.0,2025-07-18,"I visited Lotte World 3 years ago, and it was an unforgettable experience. The theme park was full of exciting rides, beautiful decorations, and fun activities for all ages. …",175,1
5.0,2025-07-18,The amusement park was really big and had indoor and outdoor attractions. Went during the summer times and the weather was really hot and sunny. Do recommend to bring sunscreen and a cap if waiting for attractions in the sun. Magic pass was …,242,1
3.0,2025-08-18,"It is what it is, a nice local theme park that they put into a large shopping mall. Despite it being indoor, the theme park manages to be equally as hot as the part of the theme park that is outside the mall. The building’s …",225,0
5.0,2025-11-18,I can't even find the words to explain such a tremendous and vibrant experience of joy and family vibe this place has . Everything is taken care professionally up to the last detail (Korean style) and nothing is taken for Granted in this …,239,1
5.0,2025-04-18,"Lotte World looks like a really fun amusement park! I didn’t go inside, but spent some time around the outside area and it was really nice. …",141,1
4.0,2025-10-18,It was alright. Recommend spending a full day and evening. Purchase the better pass for skip-the-queue access; we went early on a weekday and still had to wait in line for even mediocre rides.,192,1
2.0,2025-08-18,"We were there 7 hours and made it on 3 rides. It was 42 degrees in the sun, need I say more? The rides were fun, but the 90-150 minute waits were not.",150,0
1.0,2025-08-18,Lotte World: Where dreams come true… if your dream is to pay premium prices for standing in lines so long you start reevaluating every life decision you’ve ever made…including purchasing a ticket to this pathetic “amusement park” …,231,0
3.0,2025-07-18,"Lotte World adventure may be just a bit of let down IF you are an adult no magic pass. The lines take forever for 2 minute rides. The comet ride, for instance, was fun and all but the queue took 60 minutes on a weekday morning and the ride …",241,0
5.0,2025-01-18,"I visited Lotte World in Seoul on Christmas Day, and while it was a magical experience, it was extremely crowded due to the holiday. Most rides had wait times exceeding an hour, which required a lot of patience. Despite the long lines, the …",241,1
4.0,2025-08-18,"2025.08.14 It’s really interesting to stay here. However, we spent so much time waiting!! Recommend: roller coaster and pirate ship",131,1
4.0,2025-07-18,Went when it was Christmas themed and loved to whole mood with the lights and decorations! The only thing was that there was a looong waiting line for different attractions. I only went on the one with the flying air balloon. And at the end they had a Christmas parade show which was fun to watch.,297,1
5.0,2025-12-21,Very cool attractions and food choices. Make sure to reserve your place in the French revolution,96,1
3.0,2025-08-18,Bought our family of 4 tickets with magic fast pass in advance via Klook unfortunately due to wet weather the outdoor rides were closed and can't make the most of the magic fast pass. Indoor rides most suitable for under 10 year old in my …,240,0
5.0,2025-06-18,"It's the biggest indoor theme park I've ever seen. When I visited, it still had the pokemon theme. The queue is kinda long, but the park gives information about how long the estimated wait is. So it's up to you to queue or not. The rides are so cool and thrilling. You can also enjoy the castle laser show at night. It's so beautiful.",334,1
5.0,2025-04-18,Located next to the Lotto mall and tower. It has two sections: one indoor and magic island that is outdoor (and has that castle). Both sides are good. The inside one has a section for younger kids. There is one or two roller coasters indoor …,242,1
5.0,2025-07-18,"This theme park is very suitable for younger kids, though it has some pretty exciting or thrilling ones for the the daredevils. Plenty of food options available, though I would highly recommend the Korean Traditional Restaurants. We tried …",240,1
5.0,2025-03-18,"Great place to spend the day. It is perfect for kids. Don’t expect it to be very scary or extreme, it’s is lore for the smaller kids to have fun. There are tough some attractions for adults as well like the French Revolution(a …",228,1
3.0,2025-04-18,"It was cute. A lot of rides shut down. The others are premium rides. The few left would take an hour to even get on. We did do one 3d thing, which was cute. They have ice skating, which is extra. They have food and souvenirs. The photo area …",242,0
1.0,2025-07-18,"lack of common courtesy made our little girl cried… monday july 7th, 2025. 6:30pm. …",84,0
5.0,2025-06-18,"An amusement park that's pleasing to the eyes. I spent my time just wandering around eating park food and exploring. The lines for the rides were hours long even though it was a Wednesday so I didn't ride any, but I got a really discounted …",241,1
4.0,2025-06-18,We spent half the day here as we had other plans in the evening but we’d definitely do the full day and evening next time as the queueing is very time consuming and we only managed 4 rides from 12-6pm. …,203,1
4.0,2025-07-18,It’s a must visit place if you come to Seoul. But the queue for the famous rides were tooooooo long so my friend and i purchased the fast past because queuing for one ride took us almost one hour. And other …,208,1
5.0,2025-09-18,"Had the best time, got indoor and outdoor. Many different kind of restaurants and reasonable price for delicious food.",118,1
1.0,2026-01-04,"To busy, sold to many tickets 1-2hour lines for little kids rides. Our 2 year old did not need a ticket to enter, we line up for 1 hour to go on a little train ride, to find out under 3 can come in, but can't ride without a special Baby …",238,0
1.0,2025-11-18,"Not bad overall, but it seems the greedy operations manager is overselling tickets beyond capacity. With standby lines of 100–120 minutes, it’s practically impossible to get on any rides. Just skip this place and don’t waste your day here",238,0
5.0,2025-12-18,"Very nice indoor theme park. It might look small at first glance, but it has many floors and an outside area that makes it much bigger. The rides quality is fairly good, my favorite being Simbad (did it 3 times since there was no line!). I …",241,1
5.0,2025-06-18,"Lotte World is worth a visit while in Seoul! With fun rides for all ages, lots of food options, and cute parades you can easily spend the entire day here. Foreigners can get cheaper tickets on platforms like Klook. The larger rides can …",237,1
5.0,2025-01-18,"Very fun park and not too expensive! I highly recommend buying the entrance in advance to avoid queues when entering the park. For the most popular rides you make a reservation and get assigned a time, so it's better to do it as soon as you …",242,1
5.0,2026-01-04,The Christmas parade was amazing. Queue is really long so be prepared to spend the entire day there while trying out just afew rides.,133,1
4.0,2025-05-18,"i enjoyed this place, the park itself isn’t that big. i expected the wait times for the rides to be somewhat long but not like 90+ mins 😭. i just wanted to go just for the experience, it was a weekday too around afterschool hours so the …",238,1
4.0,2025-12-18,"Full of students and people in general. Relatively long waiting time for popular rides. A few rides were closed for maintenance on the day that I went. Food options was plenty but for those needing halal, do bring your own food along and consume when needed. Can easily spend a majority of the day here.",303,1
3.0,2025-04-18,"Very large unique indoor theme park with an outdoor area. Found it very loud, echoey & stuffy inside. Lines were crazy for all the rides. Comparing it to the Japan & USA type theme parks, felt this one just didn’t have the special theme …",238,0
5.0,2025-05-18,"You can spend a lot of time here, you have everything : shopping from luxury to mainstream; entertainment for the whole family, tons of food options. Just a beautiful place to come and visit …",192,1
1.0,2025-12-21,"Lotte World was severely overcrowded during our visit. Ride queues averaged around 90 minutes, which significantly affected the experience. Visitor numbers did not appear to be well controlled relative to capacity. If you still plan to go, …",241,0
1.0,2025-12-21,"Zero star rating. If you are a foreign visitor, I honestly would not recommend coming here. …",93,0
3.0,2025-08-18,good theme park no seating nowhere makes me tired but no one sit on the floor like universal studio in Japan.,109,0
4.0,2025-05-18,"Lotte world was a really cool experience, we got there around 11am on a Monday no wait time since we pre purchased our tickets and entered from the “wild jungle” side. Definitely recommend getting the magi-pass because even during the …",236,1
5.0,2025-01-18,"Absolutely amazing. This was the highlight of our trip. We only went on 4 or so rides, but enjoyed the performances a lot! The Street horror show was fantastic. The place is huge. Spent a whole day there and still didn't manage to explore …",240,1
1.0,2025-11-18,"They sell way too many tickets for their park. The waiting lines are ridiculous up to 1,5/2 hours. It’s definitely crowded(!), you can’t even walk “freely” but only in line close to each other, really claustrophobic especially when it’s …",238,0
5.0,2026-01-04,Great vibes! Had a blast. Not too crowded and super convenient location.,72,1
5.0,2025-03-18,"Lotte World is one of the best amusement parks I’ve ever visited, and it definitely deserves a 5-star rating! This is a must-visit destination in Seoul, especially for those who love thrilling rides and a lively entertainment atmosphere. …",239,1
1.0,2026-01-04,Fun area with lots to do but EXTREMELY CROWDED. Lots of staff but feels like they are not well allocated to areas that need the most help like the ice skating rental line. Do not come unless you want to wait at least an hour to do anything. …,242,0
5.0,2025-06-18,"Lotte World in Seoul is a must-visit destination for anyone seeking a blend of thrilling rides, family-friendly attractions, and cultural experiences. Despite its vast offerings, it’s easy to feel that a single day isn’t enough to explore everything. To make the most of your visit, arriving early in the morning is highly recommended.",335,1
1.0,2025-06-18,"Don’t Waste your time and money here. The place is old and smells. They don’t access western cards (I tried visa, Mastercard and Amex from three different western countries in one of the shops inside and nothing work). Don’t even think …",237,0
4.0,2025-04-18,Themed park with lots of attractions for children. Some rides have a height restriction so better check this before going with your toddler. It was surprisingly busy despite us going there on a weekday.,202,1
5.0,2025-01-18,"Lotte World is a wonderful destination, especially for families with young children. I visited during the winter season, and while it was a bit cold, the cooler weather made the experience more enjoyable than visiting during the summer. My …",241,1
5.0,2025-01-18,This is the another version of Disney world in south korea. The place is really great in occupying all the rides within a single building. The rides were really great but again one day will not be enough to experience …,219,1
3.0,2026-01-04,This amusement park is very inviting except for the long lines. The parade was very cute as we went in the evening. There are affordable souvenirs and some food places. Due to the cold weather it was good to have the indoor experience as well.,243,0
5.0,2026-01-11,I’d love to come here with my family. I discovered this place through Carmen and Yeon (Hearts2Hearts) in their short vacation video.,132,1
5.0,2025-06-18,"It is unfair to compare with Universal Studio Singapore that I have ever been to, but for the facilities and amenities this Lotte World provides is extremely beyond great at its level. Worth to visit, many games, foods, souvenir and vibes are good",247,1
5.0,2025-06-18,Amazing time so much to do and so little time. I went for Pokemon pop up it was a great challenging scavenger hunt but totally worth it. Will definitely come back and the price was only $27 and delicious food,208,1
5.0,2025-04-18,"Quick tips - to avoid long queue, try going in the morning and avoid going after 3pm. …",87,1
4.0,2025-01-18,"Went to Lotte World on Christmas Eve and it's pretty cool, though seems much more targeted at children overall (which is totally okay!) …",137,1
4.0,2025-10-18,Charming place not vert exciting Like world Disney or universall studio Bur very good for a family mots of the attractions have a very low waiting Time,151,1
3.0,2025-06-18,Somewhat kinda okay. There is always a long queue for almost each attraction and a handful of them are unfortunately closed. This theme park is mainly catered for kids.,168,0
1.0,2025-12-28,"The waiting time was ridiculously long. We only wanted to ride Pharaoh’s Fury, and it took three hours of waiting, completely wasting our day. …",144,0
5.0,2025-01-18,"The rides were amazing, thrilling and overall very fun. However it is recommended to get the magic pass as queues can go very long and they will just keep letting the people with magic pass go first, which will stop the queue.",226,1
4.0,2026-01-11,Cool places in the middle of the city and a lot of snack’s stall. There are indoor and outdoor rides,100,1
4.0,2025-11-18,"Signage can be a little vague or not pointing to major sections at all if you're not on the correct floor. Even on ""quiet"" days there may be up to 80min wait times for the rides. Luckily the rides themselves are fast so the lines are always moving. Plenty of food and set pieces to enjoy.",288,1
3.0,2025-09-18,Honestly very overated go to everland instead. Queues for rides were 2 hours long even though it was a week day💀 not much to do while other than rides. Not well sign posted either. Tourists have to go to special entry counter. We got tickets through discover seoul pass so no need to buy in advance …,300,0
5.0,2025-11-18,Basically they have everything here. But the hilite is the beluga aquarium,74,1
5.0,2025-05-18,Really nice indoor/outdoor theme park in the heart of Seoul! Best to purchase tickets online (from services like Klook) and save up to KRW5000 per adult. …,155,1
4.0,2025-01-18,Very crowded even during weekdays. Many rides have to wait for more than half an hour to an hour. Most rides are fun and not too scary even if they may look scary from afar. Most restaurants serve great food even though they are rather pricey compared to other places.,268,1
4.0,2025-01-18,"Nice park, a bit old school but cute. If you don't have a fast pass though it's going to be mostly waiting park. We went a Tuesday, out of school holidays or anything, and from what we saw popular attractions had lines between an hour or two. Probably ok as a teenagers hanging with friends. I wouldn't do it as an adult.",321,1
4.0,2025-01-18,"Take subway to Jamsil station and exit to Lotte World dept store. Walk thru Lotte World Dept and you will reach the theme park. Went in weekday, there was no queue entering Lotte World. The queue for most rides was aroubd 30min. French …",237,1
5.0,2025-08-18,"A wonderful, delightful indoor and outdoor amusement park that is slightly showing its age. Food choices and quality are top-notch (for such a venue). Magicpass recommended.",173,1
1.0,2026-01-04,"Dangerously crowded, many hours queuing to get in and on any ride. Family of 4 spent $AUD200 and one family member did one ride - slow go karting as the queue was only 60mins. Dodgem cars was an 80 minute wait time and this was a Friday! …",239,0
4.0,2025-06-18,"Fun, easy going entertsinment theme park with lots of space to play around. A Disney world includong parade and shows inside a building made in Korea.",150,1
1.0,2025-12-28,"I went on a Tuesday and it was soso crowded and the lines were insanely long. I queued in this ride for such a long time I started growing white hairs and when we reached only the middle, they suddenly told us that the ride had to be …",235,0
5.0,2025-12-28,Very nice amusement park. We will be back. Pretty packed so we were not able to do everything. Make sure you stop at the Korean history museum. Kids enjoyed seeing Korea's history. The models of the temples and palaces were everyone's favorite.,244,1
4.0,2025-07-18,This is a fun place for all ages with plenty with indoor and outdoor rides. Getting a skpi the line pass would not be a bad idea if you don't want to wait for hours in que.,172,1
5.0,2025-09-18,It’s very nice and amazing place specially rides,48,1
5.0,2025-12-18,"This place brought out my inner kid, I truly enjoyed and I would definitely go back to here",91,1
4.0,2025-01-18,"Lotte World in Seoul is a fun place with cool rides. But sometimes, the lines to get on the rides can be really long, even on weekdays. They have something called a Magic Pass to skip the lines, but it's kind of hard to find where to buy …",239,1
4.0,2025-04-18,"Great rides, Atlantis and the french Revolution. As a European the french Revolution is a strange name for a rollercoaster especially with a lack of disembodied french royals. If I had kids I'd bring them.",205,1
1.0,2025-01-18,"Disappointing experience due to super long queues and ride closures. We visited on the 28th Nov and, unfortunately, didn’t have the best experience. The lingering snowfall in Seoul meant that many of the famous rides, like the Gyro Drop, …",239,0
5.0,2025-05-18,Huge mall with the 6th tallest building in the world towering above it. Visited during the cherry blossom festival in April so there was more people than usual visiting the lake infront of the mall for the cherry blossom trees.,227,1
5.0,2025-01-18,Visited on weekdays. The place is super huge and crowded. But surprisingly the queue for the attractions are pretty quick except for the balloon ride. …,152,1
1.0,2025-01-18,Do not go there if you do not like crowds and staying over 2 hours to get 1 minute ride. People who are in charge of this think only about money if they let get in so many peple and there is completely no control what is happening there. It should be some limitation.,267,0
5.0,2025-01-18,This is a really fun place to go with the family. It's great because it has both indoor and outdoor Activities and rides so you can enjoy it regardless of the weather. The rides are nothing compared to Six Flags theme parks in the USA. More …,242,1
1.0,2025-12-21,I do not recommend anymore. I have been 3 times and the first two were not bad. This 3rd time with new none functioning App and new reservation system is joke and not worth going. They overcrowd the park so all lines are over an hour wait. …,241,0
5.0,2024-01-18,Wonderful and lovely Adventure Park. One day pass for sure won't be enough to cover all in one day but with magic pass you can cover most of it with special access. …,166,1
2.0,2026-01-04,Alot of bookings/reservation needed for the rides even though u got the tickets to go in. And as expected the queues are abit long. So do come mentally prepared and do your reservation for the rides if not you won't be able to go up some of the rides at all.,258,0
5.0,2025-11-18,Large entertainment center with many indoor and outdoor games,61,1
4.0,2024-01-18,Tickets are cheaper from Klook. Fun and fantastic place especially for kids. Surprised that no carnival as its too crowded today. We were hoping to see that …,158,1
4.0,2025-04-18,Pretty good theme park. Is quite busy. Unique as it’s an indoor one. Best rides are gyro drop and Atlantis.,107,1
5.0,2025-01-18,It is not the best amusement park that I have visited but lotte world deserve credit for the location in the capital city having access with metro in Seoul. If you chose the right day you can enjoy majority of the attraction in a day and if …,242,1
5.0,2025-01-18,This was definitely a cool place to take my kids. It was an indoor outdoor amusement park which is super clutch in the winter. There was something to do for all my kids of different ages. Definitely a must go if you’re in Korea with kids. Very entertaining,256,1
1.0,2025-02-18,"My family & i visit Lotte World and one of the attraction we look forward to is the hot air balloon. The system is that we have to que up for the ticket reservation, meaning not queing in line to ride it yet. So we joined the que for the …",239,0
5.0,2025-01-18,"Lotte World Korea is more than just a theme park—it’s a place where excitement and nostalgia come alive. Whether you’re screaming on the roller coasters or taking a quiet stroll through Magic Island, there’s a sense of wonder that draws …",238,1
5.0,2025-01-18,Amazing 🥹. Bought my ticket for £23 on a website as its double on their official site. Some rides were busy but most had very reasonable wait times. On some like the Gyro bungee I could get on the ride straight away. Best ride is Atlantis …,240,1
2.0,2025-12-18,"This place is cool if your looking to have a kid like experience. There's bright lights, loads of food places and it just quite pretty. There's a lot to see so it definitely the sort of place you can spend that day at. HOWEVER, it is a …",237,0
5.0,2025-01-18,"Great to be here! A must to purchase Magic Pass when going here.. When i coming here probably Korean Students were onholiday , so its very long queue for any ride.. luckily i was purchasing magic pass for 5 rides cost 54k won.. so i can skip all the long queue.. French Revolution, Gyro Drop is an insane ride😅.. …",314,1
5.0,2024-01-18,"Love love love this amusement park. It has indoor and outdoors. I liked outdoor one. 🥰 It had long queues for some fun attractions. So, come early and enjoy your time …",168,1
2.0,2025-12-18,"This wasn't up to my expectations. It was incredibly crowded. There is only one elevator and people with baby strollers have to wait some time to be able to go up and down. I wasn't able to find a simple map for the place, some things were somehow hidden and I was only able to find it by asking.",296,0
4.0,2025-04-18,One of kind experience you can have in Seoul especially with kids. Lots of things to do there and many kinds of food to sample as well. The shows in my opinion are the highlight of this park.,191,1
3.0,2025-12-18,"We went Adventure and skipped Magic Island as we have young kids. Place is huge with varieties of rides. Really a nice place. Not sure why it’s so crowded on a normal weekday, place is packed more with locals than tourists. For a ride, we …",240,0
4.0,2023-01-18,Very fun place and lots of things to do and see. Great for the kids. It was very busy the weekend we went so wait times for popular rides were close to 2 hours! Decided not to ride those rides and stuck to the kids rides which were still …,239,1
5.0,2025-01-18,"Always fun coming here and many of the rides get updated or replaced, so no visit is ever exactly the same. …",109,1
2.0,2025-12-28,"Too crowded. Don’t come here if you are short on time. Low return on time. Average rides. You will have problem doing even more than 1 big trill ride. Kiddy rides are ok though, no long queue. Yong ever land is much nicer and not as crowded.",241,0
1.0,2025-01-18,"Don’t waste your time and money! I tried to personally assess my experience at the CHÁ the manager. I found this park described as the ""Disney of Korea."" And to be considered a Disney, Lotte World is far from it, starting with the …",232,0
4.0,2025-12-21,Long queues but nice place to go for a theme park,49,1
5.0,2025-01-18,I went on a Monday and the place was absolutely jammed both the indoor area as well as the outdoor park. Tons of kids and teens. One of the interesting things I noticed is how many of the girls (and some of the boys) rent British-looking …,239,1
3.0,2025-11-18,Very dated and way overdue for an update and perhaps a complete overhaul.,73,0
5.0,2025-01-18,Fun indoor park that is cheap if you're a Disney World regular. Entry is like $60 and their express pass is affordable too along with food. Rides are decent to carnival level but it's a fun park because it is so unique. I would definitely go here again.,253,1
2.0,2025-11-18,"TLDR: skates are TERRIBLY dull. i am a 13-year figure skater and i was unable to skate without slipping once, to the point i was concerned about the safety of it …",163,0
1.0,2025-12-18,Too crowded on a weekend... The good rides all >1hr... My daughter who is a themepark lover went in at 10+ and wanted to be out by 3pm... Usually she wants to stay for 2 days in most themeparks...,196,0
4.0,2025-01-18,"Various photo spots in this amusement park but the wait line for those famous spots (especially the carousel one) is INSANE!!! Careful with the rollercoaster one I took a pic of, hit the side of my head and it hurt for a while 😆. They’ve got cute shows and various food spots around the park! …",294,1
5.0,2025-01-18,"(THERES ABSOLUTELY NO NEED TO PURCHASE THE EXPRESS PASS) Astounding how they managed to pack an entire theme park indoors, allowing it to …",139,1
5.0,2025-06-18,"As usual, very long queues for the popular rides, but for families, the kids attractions have pretty short wait time. We thoroughly enjoyed ourselves in the theme park. …",170,1
5.0,2025-01-18,I give Lotte World five stars as I look at it if I had slightly younger children. It would definitely be five stars for kids under 11 or 10 years old. For teenage kids it's a little less even though there's great rides. The problem is on …,239,1
5.0,2025-01-18,"This place is freaking awesome, it’s like the Disneyland of Korea and we had so much fun even with our 7 month old who couldn’t go on any rides except for the World Monorail and Kiddie Train😂 …",193,1
5.0,2025-01-18,"Our family had a great time! When you visit Korea, Lotte World experience is highly a recommendation, especially if you're with your family (and kids or kids at heart). …",170,1
5.0,2025-01-18,Lotte World was so fun despite the intense Seoul summer heat! :) We went there on a Wednesday and there were many people but it was bearable. It …,146,1
2.0,2025-08-18,"I got tickets in advance on the Klook app (direct entry), and arrived at 10am, no wait for entry. But the rides are packed, lines too long, and too crowded. Most of the time was spent waiting in line, rides were mediocre. Some signs are in …",241,0
2.0,2025-11-18,"It’s a nice place but very, very crowded, fast pass would be pretty expensive. Sadly a lot of attractions were closed due to maintenance, so check that online before you go if you have a specific ride in mind. …",211,0
5.0,2024-01-18,"My family and I enjoyed this amusement park. There were rides at the indoor and outdoor area. Food were easily accessible. The French Revolution, Comet Express and Atlantis were popular rides thus be prepared to wait for a long time for it. …",242,1
4.0,2025-01-18,"Good theme park but INSANELY BUSY! 🎢🇰🇷 Even during a weekday! I went on Tuesday at 10am and it was packed with long, snaking lines. Do the kids in South Korea not go to school lol? …",182,1
5.0,2024-01-18,"What an amazing theme Park. Most of the things to do are inside but you have some outside too. Perfect for rainy days ! You have a lot to do and even if you're there for the day, you won't have the time to do all of the good things you want …",242,1
4.0,2025-01-18,"Great place for kids n couples ^o^ 😄 lots of ""school uniform"" couples cuddled together while walking. …",103,1
3.0,2025-06-18,It’s nice but if you are an adult plan to go only for the late afternoon and the light shows!,93,0
2.0,2025-01-18,"Honestly, this is one of the worst theme park I have gone to. This is comparable to the Sixflags in North California. …",119,0
2.0,2025-05-18,Little to no signage showing you where anything is except toilets. Everything had over 1.5-2h wait time …,105,0
5.0,2024-01-18,"It was a very unique experience. The queue times were a bit long for some of the more popular rides, ~ 30-50 minutes. The food prices were reasonable, but some of the directions were a bit confusing, in my opinion. Definitely recommend going with friends or family",264,1
5.0,2025-06-18,A Disney like park in and outdoor with lots of cool attractions. You can buy a fast pass to skip the waiting’s line.,116,1
1.0,2025-01-18,"Sorry but this was shameful. I went on a weekday in October and it was full of kids, way to loud and crowded. Queues were horrible and ruined it for us. Went at opening hour (10) and averaged 1 hour per ride, had to give up on the best …",237,0
4.0,2024-01-18,Very crowded at the weekend. There were queues at almost every corner. We had to accept the fact that it was impossible to have a crowd-free background for our photos (totally fine with that due to our schedule). …,214,1
3.0,2025-01-18,Indoor part was nice considering it was freezing outside. It’s like Korean version of Disneyland. Overall was ok for the kids but will still prefer Disneyland with better “beautiful” rides. Worth an experience.,210,0
